source,id,date,text,engagement_score,rating_if_available,previous_category,price_label,key_phrase
playstore,613c9392-4b2f-4748-877d-45893d08db40,2026-08-18T03:21:22,good but high price,0,4,price_timing_consideration,price_sentiment_generic,high price
playstore,156a0dd7-d297-4350-bb04-ff3b77ce4261,2026-08-17T19:39:06,worth for that prize,0,4,price_timing_consideration,price_sentiment_generic,worth for that prize
playstore,e8e0fc9f-4f69-46e3-8d8c-11b52d283200,2026-08-17T07:57:40,right place to buy your own products on right price,0,5,price_timing_consideration,price_sentiment_generic,right place to buy your own products on right price
appstore,14451892772,2026-08-20T11:43:15-07:00,"Nice product

Very nice but price high overall nice product",0,5,price_consideration,price_sentiment_generic,price high
appstore,14448063116,2026-08-19T12:47:04-07:00,"Good for discount

Good app for purchasing branded clothes in discounted price",0,5,price/sale timing,price_sentiment_generic,Good app for purchasing branded clothes in discounted price
appstore,14443102520,2026-08-18T07:49:23-07:00,"PK

Best deals every i buy my dream luxury products on very good discounts",0,5,price/sale timing considerations,price_sentiment_generic,Best deals every i buy my dream luxury products on very good discounts
appstore,14443085729,2026-08-18T07:44:35-07:00,"Fashion style , Deals

This app is very genuine and  the products are 100 original and discounts are always great on season .",0,5,price_or_sale_timing,price_sentiment_generic,discounts are always great on season
youtube,UgzDTpvaugbdOOtuJJB4AaABAg,2026-08-20T19:04:05Z,"The contents which u make are same since long and the kurta sets u are showing looks very old fashion with no style statement. I think u should try making videos of different topics too like other YouTubers rather than only sponsored or these type of old fashion contents . 


Every suits looks bad with poor fabric and no style statement. Very outdated honestly.
And Rakhi has already arrived , Abhi yeh video dalke kya faida ? Order karne se delivery will happen before Rakhi ? And even it it does , if exchange karna pare toh ? We have no time . Tora toh logic ho apke videos mei 😂.",0,,purchase_hesitation_timing,price_sentiment_generic,"Rakhi has already arrived, Abhi yeh video dalke kya faida? Order karne se delivery will happen before Rakhi? And even it it does, if exchange karna pare toh? We have no time."
youtube,UgzE4YAcRE0s20Yldyd4AaABAg,2026-08-17T04:08:01Z,"All the kurta sets are to expensive all are 2000+ how can every one buy 

Make videos under 1500 rupes everyone is not like you Rich madam ji 🙍🫡",0,,price_timing_consideration,price_sentiment_generic,All the kurta sets are to expensive all are 2000+ how can every one buy
youtube,UgztOFRM_jwEFaMleol4AaABAg,2026-04-09T11:43:15Z,Too expensive 😢,3,,price_hesitation,price_sentiment_generic,Too expensive 😢
youtube,Ugw0i-4w3BE8A4-5Elx4AaABAg,2026-04-09T02:54:31Z,These are too expensive 😂😂,29,,price_timing_consideration,price_sentiment_generic,These are too expensive
youtube,UgzqnD8A-vw_YAJIfEJ4AaABAg,2026-04-11T13:42:14Z,Dresses to sunder hai per price to auur bhi sunder 😅,3,,price_appreciation,price_sentiment_generic,Dresses to sunder hai per price to auur bhi sunder
youtube,UgzEbWAPClFR2Lw0JOJ4AaABAg,2026-04-08T14:35:14Z,They're so expensive 😭🤌🏻,3,,price_timing_consideration,price_sentiment_generic,They're so expensive 😭🤌🏻
youtube,UgzCOwIpAEblYz6Foax4AaABAg,2025-07-18T18:14:58Z,Rate jyada hai😢,11,,price consideration,price_sentiment_generic,Rate jyada hai😢
youtube,UgyqAWtTU3OwKjjsZZN4AaABAg,2025-06-13T09:14:02Z,Diii aap itne aache clothes btate ho jo hum afford hi ni kr payenge 1 top 500 ka,0,,price_concern_purchase_hesitation,price_sentiment_generic,jo hum afford hi ni kr payenge 1 top 500 ka
youtube,UgwpOXYSowWx9n_tTUZ4AaABAg,2025-09-10T00:51:03Z,Jiji please messho se batvo ye to bohot mahnga hai 😢,2,,price_concern,price_sentiment_generic,ye to bohot mahnga hai
